Year,measure,Achara,Boonsri,Busarakhan,Chai,Decha,Kannika,Kohsoom,Sakda,Somchair,Tansanee
1998,Total phosphorus,0.0,0.08619047619047619,0.13,0.11499999999999999,0.0,0.09472222222222222,0.48833333333333334,0.1025,0.285,0.0
1999,Total phosphorus,0.0,0.09,0.12166666666666666,0.09944444444444445,0.0,0.08194444444444444,0.17,0.07108108108108108,0.13083333333333333,0.0
2000,Total phosphorus,0.0,0.10628571428571429,0.08333333333333333,0.09916666666666667,0.0,0.09055555555555556,0.2025,0.0961111111111111,0.07583333333333334,0.0
2001,Total phosphorus,0.0,0.06962962962962964,0.08222222222222222,0.07518518518518517,0.0,0.07814814814814815,0.22,0.07962962962962962,0.09333333333333334,0.0
2002,Total phosphorus,0.0,0.1519047619047619,0.07642857142857143,0.05507936507936508,0.0,0.04805555555555555,0.23,0.05666666666666667,0.04727272727272727,0.0
2003,Total phosphorus,0.0,0.1234888888888889,0.07536363636363637,0.05474285714285714,0.0,0.09009090909090908,0.245,0.08003030303030303,0.07427272727272727,0.0
2004,Total phosphorus,0.0,0.07963235294117647,0.12275,0.08395238095238095,0.0,0.08533333333333333,0.3575,0.06433333333333334,0.07775,0.0
2005,Total phosphorus,0.0,0.08866666666666667,0.08890909090909091,0.08593939393939394,0.0,0.11024242424242424,0.2783333333333333,0.11257575757575757,0.10763636363636363,0.0
2006,Total phosphorus,0.0,0.12164285714285715,0.18391666666666664,0.2580144927536232,0.0,0.12388888888888888,0.2618181818181818,0.12536111111111112,0.20375,0.0
2007,Total phosphorus,0.0,0.17265576923076922,0.18541666666666667,0.14166349206349205,0.0,0.15691666666666668,0.21833333333333335,0.13094444444444445,0.3391583333333333,0.0
2008,Total phosphorus,0.0,0.09277777777777778,0.12268181818181817,0.10763492063492063,0.0,0.14628666666666668,0.3068272727272727,0.13373030303030303,0.15833636363636364,0.0
2009,Total phosphorus,0.17333333333333334,0.08241818181818182,0.142575,0.1454897435897436,0.3348363636363636,0.09656052631578949,0.26366666666666666,0.10902051282051282,0.08558333333333333,0.19891666666666666
2010,Total phosphorus,0.3237037037037037,0.29884482758620695,0.057275,0.0769923076923077,0.11283333333333334,0.08634166666666666,0.13925,0.09675555555555555,0.07335833333333334,0.20625000000000002
2011,Total phosphorus,0.143,0.272,0.063,0.0981025641025641,0.12174999999999998,0.07331666666666667,0.09100000000000001,0.07314814814814816,0.06008333333333333,0.1974090909090909
2012,Total phosphorus,0.12420833333333332,0.10372727272727272,0.08179166666666667,0.10802564102564102,0.14625000000000002,0.07177777777777777,0.12254545454545455,0.08733333333333333,0.08721739130434782,0.18900000000000003
2013,Total phosphorus,0.0625,0.11205555555555555,0.05988461538461538,0.06699342105263158,0.13504347826086957,0.06336111111111112,0.5195416666666667,0.05908333333333333,0.07221153846153847,0.2109923076923077
2014,Total phosphorus,0.048999999999999995,0.14055,0.10037692307692307,0.06844871794871796,0.13038461538461538,0.08825,0.5385,0.09594444444444444,0.0744423076923077,0.2423076923076923
2015,Total phosphorus,0.05245454545454545,0.09553125,0.07903846153846154,0.06288461538461539,0.11062500000000001,0.09388888888888888,0.32864166666666667,0.09044444444444445,0.06588461538461539,0.18291666666666664
2016,Total phosphorus,0.07216666666666667,0.06565,0.1,0.07227564102564103,0.1684,0.12158333333333332,0.254225,0.11227777777777777,0.08257692307692309,0.17915833333333334
